suburb,state,postcode,lat,lng,label
Bago,NSW,2446,-31.46,152.53,"Bago, NSW 2446"
Bagotville,NSW,2477,-28.81,153.45,"Bagotville, NSW 2477"
Bakers Creek,NSW,2359,-30.0,151.08,"Bakers Creek, NSW 2359"
Bakers Creek,NSW,2422,-31.97,152.07,"Bakers Creek, NSW 2422"
Bakers Creek,NSW,2447,-30.8,152.73,"Bakers Creek, NSW 2447"
Bakers Swamp,NSW,2820,-32.6,148.96,"Bakers Swamp, NSW 2820"
Balala,NSW,2358,-30.59,151.56,"Balala, NSW 2358"
Balcolyn,NSW,2264,-33.1,151.55,"Balcolyn, NSW 2264"
Bald Blair,NSW,2365,-30.08,151.88,"Bald Blair, NSW 2365"
Bald Hills,NSW,2549,-36.91,149.85,"Bald Hills, NSW 2549"
Bald Nob,NSW,2370,-29.64,151.96,"Bald Nob, NSW 2370"
Bald Ridge,NSW,2795,-33.91,149.33,"Bald Ridge, NSW 2795"
Baldersleigh,NSW,2365,-30.08,151.88,"Baldersleigh, NSW 2365"
Baldry,NSW,2867,-32.87,148.5,"Baldry, NSW 2867"
Balgowlah,NSW,2093,-33.79,151.26,"Balgowlah, NSW 2093"
Balgowlah Heights,NSW,2093,-33.79,151.26,"Balgowlah Heights, NSW 2093"
Balgownie,NSW,2519,-34.39,150.88,"Balgownie, NSW 2519"
Balickera,NSW,2324,-32.67,151.81,"Balickera, NSW 2324"
Ballalaba,NSW,2622,-35.65,149.81,"Ballalaba, NSW 2622"
Balldale,NSW,2646,-35.85,146.52,"Balldale, NSW 2646"
Ballengarra,NSW,2441,-30.82,152.83,"Ballengarra, NSW 2441"
Ballimore,NSW,2830,-32.2,148.9,"Ballimore, NSW 2830"
Ballina,NSW,2478,-28.87,153.56,"Ballina, NSW 2478"
Ballyroe,NSW,2795,-33.91,149.33,"Ballyroe, NSW 2795"
Balmain,NSW,2041,-33.86,151.18,"Balmain, NSW 2041"
Balmain East,NSW,2041,-33.86,151.18,"Balmain East, NSW 2041"
Balmoral,NSW,2283,-33.06,151.58,"Balmoral, NSW 2283"
Balranald,NSW,2715,-33.87,142.89,"Balranald, NSW 2715"
Bamarang,NSW,2540,-34.89,150.53,"Bamarang, NSW 2540"
Banda Banda,NSW,2446,-31.46,152.53,"Banda Banda, NSW 2446"
Bandon Grove,NSW,2420,-32.43,151.77,"Bandon Grove, NSW 2420"
Bangadang,NSW,2729,-35.31,148.06,"Bangadang, NSW 2729"
Bangalee,NSW,2541,-34.84,150.57,"Bangalee, NSW 2541"
Bangalow,NSW,2479,-28.69,153.52,"Bangalow, NSW 2479"
Bangheet,NSW,2404,-29.8,150.48,"Bangheet, NSW 2404"
Bango,NSW,2582,-34.75,148.96,"Bango, NSW 2582"
Bangor,NSW,2234,-33.99,151.02,"Bangor, NSW 2234"
Banksia,NSW,2216,-33.95,151.14,"Banksia, NSW 2216"
Banksmeadow,NSW,2019,-33.96,151.21,"Banksmeadow, NSW 2019"
Bankstown,NSW,2200,-33.92,151.03,"Bankstown, NSW 2200"
Bankstown Aerodrome,NSW,2200,-33.92,151.03,"Bankstown Aerodrome, NSW 2200"
Bankstown North,NSW,2200,-33.92,151.03,"Bankstown North, NSW 2200"
Bankstown Square,NSW,2200,-33.92,151.03,"Bankstown Square, NSW 2200"
Bannaby,NSW,2580,-34.44,149.96,"Bannaby, NSW 2580"
Bannister,NSW,2580,-34.44,149.96,"Bannister, NSW 2580"
Banoon,NSW,2347,-30.53,150.44,"Banoon, NSW 2347"
Banora Point,NSW,2486,-28.21,153.54,"Banora Point, NSW 2486"
Bar Beach,NSW,2300,-32.94,151.77,"Bar Beach, NSW 2300"
Bar Point,NSW,2083,-33.51,151.16,"Bar Point, NSW 2083"
Bara,NSW,2850,-32.86,149.8,"Bara, NSW 2850"
Baradine,NSW,2396,-30.94,149.07,"Baradine, NSW 2396"
Barangaroo,NSW,2000,-33.86,151.21,"Barangaroo, NSW 2000"
Barcoongere,NSW,2460,-29.05,152.59,"Barcoongere, NSW 2460"
Barden Ridge,NSW,2234,-33.99,151.02,"Barden Ridge, NSW 2234"
Bardia,NSW,2565,-33.99,150.84,"Bardia, NSW 2565"
Bardwell Park,NSW,2207,-33.93,151.13,"Bardwell Park, NSW 2207"
Bardwell Valley,NSW,2207,-33.93,151.13,"Bardwell Valley, NSW 2207"
Barellan,NSW,2665,-34.36,146.9,"Barellan, NSW 2665"
Bargo,NSW,2574,-34.35,150.63,"Bargo, NSW 2574"
Barham,NSW,2732,-35.63,144.13,"Barham, NSW 2732"
Barigan,NSW,2850,-32.86,149.8,"Barigan, NSW 2850"
Barkers Vale,NSW,2474,-28.59,152.83,"Barkers Vale, NSW 2474"
Barmedman,NSW,2668,-34.18,147.41,"Barmedman, NSW 2668"
Barneys Reef,NSW,2852,-32.19,149.53,"Barneys Reef, NSW 2852"
Barnsley,NSW,2278,-32.93,151.59,"Barnsley, NSW 2278"
